DW_CLIENTE;DW_LOCALIDADE;DW_TEMPO;preco_venda
69f607c29a9848c5de9fea705260e2788583a0033844f016c3bf011de9b63269;9a8479220b7c5c7b681bf202a2e8c35827674704452ff73681d3f6d869e99bf0;719b2891fdbc97c8055488575f6557b1a4528cf84a527a723b6d5c6f912ea755;286.5262260437012
6c758551b92edaf3eea73b13c691fd41dea02b2514fe4df4466b7791ad325ea3;0690d4307db3d7440548d159ae6f166cc17576c3bacc5829f31bff6064f775c7;d752df8e39fb7155a92a535c05e5a63722f42fb6be769f191f1f798ae58e4c68;3725.1101989746094
9fdc05e6463ef9cb30eca7733883f4d35277390a32ebad9fed1fcd8cefd43642;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;ac92f06133462f3446509682504e12f7aa87b57afb738f28d75984d178d9a844;2800.1599731445312
8aea1c7462776d404cb5306066fafb5d5dc3e60f9f3dbb5768f80475e70d2cdd;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;78c763491e683d941e665b762bb0926a3e200c9522b8114848813fb691e93078;638.6655292510986
75dbe29c6a38204de7b18007872b7657939a956d33dce7a00bc8340c486d67ed;9e4b08d57ceb4006b6627358112380b0113b4479f7604d7707d589eec9bd667c;807ec24aca59a55e4e9d06db721e859a410da94b35c706087fc2748d940e1be4;66.7300033569336
848f7b927555636256361cb9714237481ecd5aaa25155ecc4e8c328f8b4aab43;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;2a2d14e78be29f4877062d7ffffd07b89abc877b0456f2bf924cb4678a24ff9e;442.2200012207031
d9880a4bc70863ba4484252158148d2726c49c0acfc108c92adb95a431e5fa14;95c9bd966c24c2c7c57c92db9a778db06ccae8cc52835262d69711dee217c1d8;b3c8858823494475dce166b88b3747efe43a106e1c49015054cb4a3badbae45f;844.5125122070312
6dd67eb36715b0b78e0de49ed8382e91a03931091955ba670695f14df86e0061;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;1fdd8a38da1407fa4adc784e5ff4fe5c7f999a5c3b8600260da92df23d526c75;1508.351661682129
fed1bea5f6ec315bfb344a914417cdffd0d4a9aae83b5e9b4dc57e9ac0b594b8;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;401a73e667159c09cdfa4897829f66fdf31fb4489a06e9c7d758a98239b7566a;970.6500244140625
276d071c579edc779af025477250e24d17047df8138f1bef68651c7c7c03794e;4889a0ba52f23798555b0f00e33f39a3fde7eca8ed60c42b4662f027e43123bc;13d229c6c14e717ffde6d0207da3f43cf0f180260a0022252ebe1df9fd14ce5d;957.3733367919922
0687cf6fe88e3a96965ec2d22a06aaa5b0bbba2f6f61f58d00a19a01c0493814;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;dc136183defb9efa131872693a25b8e687a03fdc9c033a4a29a18b3dd8764677;641.8200073242188
99a1b03f2fb9cdfbf9d395bee73c24cbf5aff90f2106e93394a1bec9b59672a7;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;499ef31a297b754f6279799f7dadb234f6e874f60a9b0f40ba1fe645dd46b60b;191.62120056152344
